0 Air (minecraft:air)
1 Stone (minecraft:stone)
1:1 Stone_Granite (minecraft:stone)
1:2 Stone_Granite_smooth (minecraft:stone)
1:3 Stone_Diorite (minecraft:stone)
1:4 Stone_Diorite_smooth (minecraft:stone)
1:5 Stone_Andesite (minecraft:stone)
1:6 Stone_Andesite_smooth (minecraft:stone)
2 Grass_Side (minecraft:grass)
3 Dirt (minecraft:dirt)
3:1 Coarse_Dirt (minecraft:dirt)
3:2 Dirt_Podzol_side (minecraft:dirt)
4 Cobblestone (minecraft:cobblestone)
5 planks_oak (minecraft:planks)
5:1 planks_Spruce (minecraft:planks)
5:2 planks_Birch (minecraft:planks)
5:3 planks_Jungle (minecraft:planks)
5:4 planks_Acacia (minecraft:planks)
5:5 planks_Big_Oak (minecraft:planks)
6 sapling_Oak (minecraft:sapling)
6:1 sapling_Spruce (minecraft:sapling)
6:2 sapling_Birch (minecraft:sapling)
6:3 sapling_Jungle (minecraft:sapling)
6:4 sapling_Acacia (minecraft:sapling)
6:5 sapling_roofed_Oak (minecraft:sapling)
7 Bedrock (minecraft:bedrock)
8 Water_Flow (minecraft:flowing_water)
9 Water_still (minecraft:water)
10 Lava_Flow (minecraft:flowing_lava)
11 Lava_still (minecraft:lava)
12 Sand (minecraft:sand)
12:1 Red_Sand (minecraft:sand)
13 Gravel (minecraft:gravel)
14 Gold_Ore (minecraft:gold_ore)
15 Iron_Ore (minecraft:iron_ore)
16 Coal_Ore (minecraft:coal_ore)
17 log_Oak (minecraft:log)
17:1 log_Spruce (minecraft:log)
17:2 log_Birch (minecraft:log)
17:3 log_Jungle (minecraft:log)
18 leaves_Oak (minecraft:leaves)
18:1 leaves_Spruce (minecraft:leaves)
18:2 leaves_Birch (minecraft:leaves)
18:3 leaves_Jungle (minecraft:leaves)
19 Sponge (minecraft:sponge)
19:1 Sponge_wet (minecraft:sponge)
20 Glass (minecraft:glass)
21 Lapis_Ore (minecraft:lapis_ore)
22 Lapis_Block (minecraft:lapis_block)
23 Dispenser_front_horizontal (minecraft:dispenser)
24 Sandstone_normal (minecraft:sandstone)
24:1 Sandstone_carved (minecraft:sandstone)
24:2 Sandstone_smooth (minecraft:sandstone)
25 Noteblock (minecraft:noteblock)
26 Bed (minecraft:bed)
27 rail_golden (minecraft:golden_rail)
28 rail_detector (minecraft:detector_rail)
29 piston_top_sticky (minecraft:sticky_piston)
30 Web (minecraft:web)
31 double_plant_grass_top (minecraft:tallgrass)
31:1 double_plant_grass_bottom (minecraft:tallgrass)
31:2 Fern (minecraft:tallgrass)
32 DeadBush (minecraft:deadbush)
33 Piston_side (minecraft:piston)
34 Piston_top_normal (minecraft:piston_head)
35 Wool_Colored_White (minecraft:wool)
35:1 Wool_Colored_Orange (minecraft:wool)
35:2 Wool_Colored_Magenta (minecraft:wool)
35:3 Wool_Colored_Light_Blue (minecraft:wool)
35:4 Wool_Colored_Yellow (minecraft:wool)
35:5 Wool_Colored_Lime (minecraft:wool)
35:6 Wool_Colored_Pink (minecraft:wool)
35:7 Wool_Colored_Gray (minecraft:wool)
35:8 Wool_Colored_Silver (minecraft:wool)
35:9 Wool_Colored_Cyan (minecraft:wool)
35:10 Wool_Colored_Purple (minecraft:wool)
35:11 Wool_Colored_Blue (minecraft:wool)
35:12 Wool_Colored_Brown (minecraft:wool)
35:13 Wool_Colored_Green (minecraft:wool)
35:14 Wool_Colored_Red (minecraft:wool)
35:15 Wool_Colored_Black (minecraft:wool)
37 flower_Dandelion (minecraft:yellow_flower)
38 flower_rose (minecraft:red_flower)
38:1 flower_Blue_Orchid (minecraft:red_flower)
38:2 flower_Allium (minecraft:red_flower)
38:3 flower_houstonia (minecraft:red_flower)
38:4 flower_tulip_Red (minecraft:red_flower)
38:5 flower_tulip_Orange (minecraft:red_flower)
38:6 flower_tulip_White (minecraft:red_flower)
38:7 flower_tulip_Pink (minecraft:red_flower)
38:8 flower_Oxeye_Daisy (minecraft:red_flower)
39 mushroom_brown (minecraft:brown_mushroom)
40 mushroom_red (minecraft:red_mushroom)
41 Gold_Block (minecraft:gold_block)
42 Iron_Block (minecraft:iron_block)
43 stone_slab_side (minecraft:double_stone_slab)
43:1 stone_slab_side (minecraft:double_stone_slab)
43:2 stone_slab_side (minecraft:double_stone_slab)
43:3 stone_slab_side (minecraft:double_stone_slab)
43:4 stone_slab_side (minecraft:double_stone_slab)
43:5 stone_slab_side (minecraft:double_stone_slab)
43:6 stone_slab_side (minecraft:double_stone_slab)
43:7 stone_slab_side (minecraft:double_stone_slab)
44 stone_slab_top (minecraft:stone_slab)
44:1 stone_slab_top (minecraft:stone_slab)
44:2 stone_slab_top (minecraft:stone_slab)
44:3 stone_slab_top (minecraft:stone_slab)
44:4 stone_slab_top (minecraft:stone_slab)
44:5 stone_slab_top (minecraft:stone_slab)
44:6 stone_slab_top (minecraft:stone_slab)
44:7 stone_slab_top (minecraft:stone_slab)
45 Bricks (minecraft:brick_block)
46 TNT_side (minecraft:tnt)
47 Bookshelf (minecraft:bookshelf)
48 cobblestone_mossy (minecraft:mossy_cobblestone)
49 Obsidian (minecraft:obsidian)
50 Torch_on (minecraft:torch)
51 Fire_layer_0 (minecraft:fire)
52 Mob_Spawner (minecraft:mob_spawner)
53 planks_oak (minecraft:oak_stairs)
54 Chest (minecraft:chest)
55 Redstone_dust_line (minecraft:redstone_wire)
56 Diamond_Ore (minecraft:diamond_ore)
57 Diamond_Block (minecraft:diamond_block)
58 Crafting_Table_front (minecraft:crafting_table)
59 Wheat_stage_7 (minecraft:wheat)
60 Farmland_wet (minecraft:farmland)
61 Furnace_front_off (minecraft:furnace)
62 Furnace_front_on (minecraft:lit_furnace)
63 sign (minecraft:standing_sign)
64 door_wood (minecraft:wooden_door)
65 Ladder (minecraft:ladder)
66 Rail_normal (minecraft:rail)
67 Cobblestone (minecraft:stone_stairs)
68 sign (minecraft:wall_sign)
69 Lever (minecraft:lever)
70 Stone (minecraft:stone_pressure_plate)
71 door_iron (minecraft:iron_door)
72 planks_oak (minecraft:wooden_pressure_plate)
73 Redstone_Ore (minecraft:redstone_ore)
74 Redstone_Ore (minecraft:lit_redstone_ore)
75 Redstone_Torch_off (minecraft:unlit_redstone_torch)
76 Redstone_Torch_on (minecraft:redstone_torch)
77 Stone_Button (minecraft:stone_button)
78 Snow (minecraft:snow_layer)
79 Ice (minecraft:ice)
80 Snow (minecraft:snow)
81 Cactus_side (minecraft:cactus)
82 Clay (minecraft:clay)
83 Sugar_Cane (minecraft:reeds)
84 Jukebox_side (minecraft:jukebox)
85 Oak_Fence (minecraft:fence)
